"SortOrder1","Goal","Target","Indicator","Series Code","Series Description","SortOrder2","Country or Area","SIDS","LDC","LLDC","Frequency","Unit","Location","Age Group","Sex","Source Type","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"020701","2","2.b","2.b.1","AG_PRD_PSEST","SD                                                                          Producer Support Estimate","01000000","World","False","False","False","Annual","USD (Billions)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","258.00","NA, 51","","","","","","","","","318.00","NA, 51","","","","","","","","","440.00","NA, 51","","","","","","","584.00","NA, 51","","","",""
"030101","3","3.1","3.1.1","SH_STA_MORT","SD                                                                          Maternal mortality ratio","01000000","World","False","False","False","Annual","Per 100,000 live births (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","341.00","NA","","","","","","","","","288.00","NA","","","","","","","","","246.00","NA","","","","","","","","","216.00","NA","",""
"030102","3","3.1","3.1.2","SH_STA_BRTC","SD                                                                          Proportion of births attended by skilled health personnel","01000000","World","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","62.01","NA, 32, 78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.42","NA, 32, 78","",""
"030201","3","3.2","3.2.1","SH_DYN_IMRT","+                                                                          Infant mortality rate","01000000","World","False","False","False","Annual","Per 1,000 live births (Units)","Total","Under 1","Total","Not available","","","","","","","","","","","","","","","","","","","","","53.10","NA, 28","","","","","","","","","44.30","NA, 28","","","","","","","","","37.50","NA, 28","","","","","","","","","31.70","NA, 28","",""
"030201","3","3.2","3.2.1","SH_DYN_MORT","SD                                                                          Under-five mortality rate","01000000","World","False","False","False","Annual","Per 1,000 live births (Units)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","75.90","NA, 28","","","","","","","","","62.60","NA, 28","","","","","","","","","51.70","NA, 28","","","","","","","","","42.50","NA, 28","",""
"030202","3","3.2","3.2.2","SH_DYN_NMRT","SD                                                                          Neonatal mortality rate","01000000","World","False","False","False","Annual","Per 1,000 live births (Units)","Total","Under 1 month","Total","Not available","","","","","","","","","","","","","","","","","","","","","30.50","NA, 28","","","","","","","","","25.70","NA, 28","","","","","","","","","22.30","NA, 28","","","","","","","","","19.20","NA, 28","",""
"030301","3","3.3","3.3.1","SH_HIV_INCD","SD                                                                          Estimated HIV incidence rate","01000000","World","False","False","False","Annual","Per 1,000 uninfected population (Units)","Total","Under 15","Total","Not available","","","","","","","","","","","","","","","","","","","","","0.28","NA, 30","","","","","","","","","0.26","NA, 30","","","","","","","","","0.17","NA, 30","","","","","","","","","0.08","NA, 30","",""
"030301","3","3.3","3.3.1","SH_HIV_INCD","SD                                                                          Estimated HIV incidence rate","01000000","World","False","False","False","Annual","Per 1,000 uninfected population (Units)","Total","Total","Female","Not available","","","","","","","","","","","","","","","","","","","","","0.55","NA, 30","","","","","","","","","0.40","NA, 30","","","","","","","","","0.33","NA, 30","","","","","","","","","0.28","NA, 30","",""
"030301","3","3.3","3.3.1","SH_HIV_INCD","SD                                                                          Estimated HIV incidence rate","01000000","World","False","False","False","Annual","Per 1,000 uninfected population (Units)","Total","Total","Male","Not available","","","","","","","","","","","","","","","","","","","","","0.54","NA, 30","","","","","","","","","0.41","NA, 30","","","","","","","","","0.34","NA, 30","","","","","","","","","0.31","NA, 30","",""
"030301","3","3.3","3.3.1","SH_HIV_INCD","SD                                                                          Estimated HIV incidence rate","01000000","World","False","False","False","Annual","Per 1,000 uninfected population (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","0.55","NA, 30","","","","","","","","","0.40","NA, 30","","","","","","","","","0.33","NA, 30","","","","","","","","","0.30","NA, 30","",""
"030301","3","3.3","3.3.1","SH_HIV_INCD","SD                                                                          Estimated HIV incidence rate","01000000","World","False","False","False","Annual","Per 1,000 uninfected population (Units)","Total","15+","Total","Not available","","","","","","","","","","","","","","","","","","","","","0.66","NA, 30","","","","","","","","","0.46","NA, 30","","","","","","","","","0.40","NA, 30","","","","","","","","","0.37","NA, 30","",""
"030302","3","3.3","3.3.2","SH_TBS_INCD","SD                                                                          Tuberculosis incidence per 100,000 population","01000000","World","False","False","False","Annual","Per 100,000 population (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","162.00","NA, 35, 82","","","","","","","","","158.00","NA, 35, 82","","","","","","","","","144.00","NA, 35, 82","","","","","","","133.00","NA, 35, 82","","","",""
"030302","3","3.3","3.3.2","SH_TBS_INCD_LB","SD                                                                          Tuberculosis incidence per 100,000 population (lower bound)","01000000","World","False","False","False","Annual","Per 100,000 population (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","155.00","NA, 35, 82","","","","","","","","","151.00","NA, 35, 82","","","","","","","","","137.00","NA, 35, 82","","","","","","","126.00","NA, 35, 82","","","",""
"030302","3","3.3","3.3.2","SH_TBS_INCD_UB","SD                                                                          Tuberculosis incidence per 100,000 population (upper bound)","01000000","World","False","False","False","Annual","Per 100,000 population (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","169.00","NA, 35, 82","","","","","","","","","164.00","NA, 35, 82","","","","","","","","","151.00","NA, 35, 82","","","","","","","141.00","NA, 35, 82","","","",""
"030302","3","3.3","3.3.2","SH_TBS_MORT","+                                                                          Tuberculosis deaths per 100,000 population","01000000","World","False","False","False","Annual","Per 100,000 population (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","26.00","NA, 35, 82","","","","","","","","","23.00","NA, 35, 82","","","","","","","","","18.00","NA, 35, 82","","","","","","","16.00","NA, 35, 82","","","",""
"030302","3","3.3","3.3.2","SH_TBS_MORT_LB","+                                                                          Tuberculosis deaths per 100,000 population (lower bound)","01000000","World","False","False","False","Annual","Per 100,000 population (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","23.00","NA, 35, 82","","","","","","","","","21.00","NA, 35, 82","","","","","","","","","16.00","NA, 35, 82","","","","","","","13.00","NA, 35, 82","","","",""
"030302","3","3.3","3.3.2","SH_TBS_MORT_UB","+                                                                          Tuberculosis deaths per 100,000 population (upper bound)","01000000","World","False","False","False","Annual","Per 100,000 population (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","29.00","NA, 35, 82","","","","","","","","","25.00","NA, 35, 82","","","","","","","","","21.00","NA, 35, 82","","","","","","","18.00","NA, 35, 82","","","",""
"030303","3","3.3","3.3.3","SH_STA_MALR","SD                                                                          Malaria incidence per 1,000 population","01000000","World","False","False","False","Annual","Per 1,000 population (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","146.00","NA, 33","","","","","","","","","134.00","NA, 33","","","","","","","","","113.00","NA, 33","","","","","","","","","99.00","NA, 33","",""
"030305","3","3.3","3.3.5","SH_TRP_INTVN","SD                                                                          Number of people requiring interventions against neglected tropical diseases","01000000","World","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,728,493,416.00","E, 36","","","",""
"030401","3","3.4","3.4.1","SH_DTH_NCOM","SD                                                                          Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","01000000","World","False","False","False","Annual","Percent (Units)","Total","30 - 70","Total","Not available","","","","","","","","","","","","","","","","","","","","","22.80","NA, 27","","","","","","","","","20.90","NA, 27","","","","","","","","","19.70","NA, 27","","","19.40","NA, 27","","","","","","","",""
"030402","3","3.4","3.4.2","SH_STA_SCIDE","SD                                                                          Suicide mortality rate","01000000","World","False","False","False","Annual","Per 100,000 population (Units)","Total","Total","Female","Not available","","","","","","","","","","","","","","","","","","","","","11.44","NA, 27","","","","","","","","","10.06","NA, 27","","","","","","","","","8.66","NA, 27","","","8.16","NA, 27","","","","","","","",""
"030402","3","3.4","3.4.2","SH_STA_SCIDE","SD                                                                          Suicide mortality rate","01000000","World","False","False","False","Annual","Per 100,000 population (Units)","Total","Total","Male","Not available","","","","","","","","","","","","","","","","","","","","","17.37","NA, 27","","","","","","","","","15.84","NA, 27","","","","","","","","","14.83","NA, 27","","","14.51","NA, 27","","","","","","","",""
"030402","3","3.4","3.4.2","SH_STA_SCIDE","SD                                                                          Suicide mortality rate","01000000","World","False","False","False","Annual","Per 100,000 population (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","14.43","NA, 27","","","","","","","","","12.97","NA, 27","","","","","","","","","11.77","NA, 27","","","11.36","NA, 27","","","","","","","",""
"030402","3","3.4","3.4.2","SH_STA_SCIDEN","+                                                                          Number of deaths attributed to suicide","01000000","World","False","False","False","Annual","Number (Thousands)","Total","Total","Female","Not available","","","","","","","","","","","","","","","","","","","","","348.00","NA","","","","","","","","","325.00","NA","","","","","","","","","297.00","NA","","","286.00","NA","","","","","","","",""
"030402","3","3.4","3.4.2","SH_STA_SCIDEN","+                                                                          Number of deaths attributed to suicide","01000000","World","False","False","False","Annual","Number (Thousands)","Total","Total","Male","Not available","","","","","","","","","","","","","","","","","","","","","536.00","NA","","","","","","","","","520.00","NA","","","","","","","","","516.00","NA","","","518.00","NA","","","","","","","",""
"030402","3","3.4","3.4.2","SH_STA_SCIDEN","+                                                                          Number of deaths attributed to suicide","01000000","World","False","False","False","Annual","Number (Thousands)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","883.00","NA","","","","","","","","","845.00","NA","","","","","","","","","813.00","NA","","","804.00","NA","","","","","","","",""
"030502","3","3.5","3.5.2","SH_ALC_CONSPT","SD                                                                          Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol","01000000","World","False","False","False","Annual","Litres pure alcohol (Units)","Total","15+","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.00","NA, 26","","","","","","","","","6.20","NA, 26","","","","","","","","","6.30","NA, 26","",""
"030601","3","3.6","3.6.1","SH_STA_TRAF","SD                                                                          Death rate due to road traffic injuries","01000000","World","False","False","False","Annual","Per 100,000 population (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","18.10","NA, 34","","","","","","","","","18.80","NA, 34","","","","","","","","","18.00","NA, 34","","","","","17.40","NA, 34","","","","","",""
"030701","3","3.7","3.7.1","SH_FPL_MTMM","+                                                                          Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","01000000","World","False","False","False","Annual","Percent (Units)","Total","15 - 49","Female","Not available","","","","","","","","","","","","","","","","","","","","","74.50","NA, 29, 76","","","","","","","","","75.50","NA, 29, 76","","","","","","","","","76.20","NA, 29, 76","","","","","","","","","76.70","NA, 29, 76","",""
