"SortOrder1","Goal","Target","Indicator","Series Code","Series Description","SortOrder2","Country or Area","SIDS","LDC","LLDC","Frequency","Unit","Location","Age Group","Sex","Source Type","1986","FN","1987","FN","1988","FN","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"030202","3","3.2","3.2.2","SH_DYN_NMRTN","+                                                                          Number of neonatal deaths","01020310","Brazil","False","False","False","Annual","Number (Thousands)","Total","Under 1 month","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61,046.00","E","56,608.00","E","52,117.00","E","47,688.00","E","43,470.00","E","39,575.00","E","35,652.00","E","32,709.00","E","30,871.00","E","30,328.00","E","30,378.00","E","30,977.00","E","31,639.00","E","31,645.00","E","30,421.00","E","28,604.00","E","",""
"030301","3","3.3","3.3.1","SH_HIV_INCD","SD                                                                          Estimated HIV incidence rate","01020310","Brazil","False","False","False","Annual","Per 1,000 uninfected population (Units)","Total","Under 15","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","E, 114","0.05","E, 114","0.05","E, 114","0.05","E, 114","0.05","E, 114","0.05","E, 114","0.04","E, 114","0.03","E, 114","0.02","E, 114","0.02","E, 114","0.02","E, 114","0.02","E, 114","0.01","E, 114","0.01","E, 114","0.01","E, 114","0.01","E, 114","",""
"030301","3","3.3","3.3.1","SH_HIV_INCD","SD                                                                          Estimated HIV incidence rate","01020310","Brazil","False","False","False","Annual","Per 1,000 uninfected population (Units)","Total","Total","Female","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.19","E, 114","0.18","E, 114","0.17","E, 114","0.17","E, 114","0.17","E, 114","0.17","E, 114","0.15","E, 114","0.15","E, 114","0.15","E, 114","0.14","E, 114","0.14","E, 114","0.14","E, 114","0.13","E, 114","0.13","E, 114","0.13","E, 114","0.13","E, 114","",""
"030301","3","3.3","3.3.1","SH_HIV_INCD","SD                                                                          Estimated HIV incidence rate","01020310","Brazil","False","False","False","Annual","Per 1,000 uninfected population (Units)","Total","Total","Male","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","E, 114","0.28","E, 114","0.29","E, 114","0.29","E, 114","0.29","E, 114","0.30","E, 114","0.31","E, 114","0.31","E, 114","0.31","E, 114","0.31","E, 114","0.31","E, 114","0.31","E, 114","0.31","E, 114","0.31","E, 114","0.31","E, 114","0.31","E, 114","",""
"030301","3","3.3","3.3.1","SH_HIV_INCD","SD                                                                          Estimated HIV incidence rate","01020310","Brazil","False","False","False","Annual","Per 1,000 uninfected population (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23","E, 114","0.23","E, 114","0.23","E, 114","0.23","E, 114","0.23","E, 114","0.23","E, 114","0.23","E, 114","0.23","E, 114","0.23","E, 114","0.22","E, 114","0.22","E, 114","0.22","E, 114","0.22","E, 114","0.22","E, 114","0.22","E, 114","0.22","E, 114","",""
"030301","3","3.3","3.3.1","SH_HIV_INCD","SD                                                                          Estimated HIV incidence rate","01020310","Brazil","False","False","False","Annual","Per 1,000 uninfected population (Units)","Total","15+","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","E, 114","0.31","E, 114","0.31","E, 114","0.31","E, 114","0.30","E, 114","0.30","E, 114","0.30","E, 114","0.30","E, 114","0.30","E, 114","0.30","E, 114","0.29","E, 114","0.29","E, 114","0.29","E, 114","0.29","E, 114","0.29","E, 114","0.28","E, 114","",""
"030302","3","3.3","3.3.2","SH_TBS_INCD","SD                                                                          Tuberculosis incidence per 100,000 population","01020310","Brazil","False","False","False","Annual","Per 100,000 population (Units)","Total","Total","Total","Not available","","","","","","","","","84.00","E, 129, 183","81.00","E, 129, 183","78.00","E, 129, 183","76.00","E, 129, 183","73.00","E, 129, 183","71.00","E, 129, 183","69.00","E, 129, 183","67.00","E, 129, 183","65.00","E, 129, 183","63.00","E, 129, 183","61.00","E, 129, 183","58.00","E, 129, 183","56.00","E, 129, 183","54.00","E, 129, 183","53.00","E, 129, 183","51.00","E, 129, 183","50.00","E, 129, 183","49.00","E, 129, 183","46.00","E, 129, 183","49.00","E, 129, 183","46.00","E, 129, 183","47.00","E, 129, 183","45.00","E, 129, 183","45.00","E, 129, 183","44.00","E, 129, 183","","","",""
"030302","3","3.3","3.3.2","SH_TBS_INCD_LB","SD                                                                          Tuberculosis incidence per 100,000 population (lower bound)","01020310","Brazil","False","False","False","Annual","Per 100,000 population (Units)","Total","Total","Total","Not available","","","","","","","","","69.00","E, 129, 183","70.00","E, 129, 183","70.00","E, 129, 183","69.00","E, 129, 183","68.00","E, 129, 183","66.00","E, 129, 183","64.00","E, 129, 183","62.00","E, 129, 183","60.00","E, 129, 183","58.00","E, 129, 183","56.00","E, 129, 183","54.00","E, 129, 183","52.00","E, 129, 183","51.00","E, 129, 183","49.00","E, 129, 183","48.00","E, 129, 183","47.00","E, 129, 183","46.00","E, 129, 183","44.00","E, 129, 183","46.00","E, 129, 183","43.00","E, 129, 183","45.00","E, 129, 183","43.00","E, 129, 183","43.00","E, 129, 183","42.00","E, 129, 183","","","",""
"030302","3","3.3","3.3.2","SH_TBS_INCD_UB","SD                                                                          Tuberculosis incidence per 100,000 population (upper bound)","01020310","Brazil","False","False","False","Annual","Per 100,000 population (Units)","Total","Total","Total","Not available","","","","","","","","","99.00","E, 129, 183","93.00","E, 129, 183","87.00","E, 129, 183","83.00","E, 129, 183","79.00","E, 129, 183","77.00","E, 129, 183","74.00","E, 129, 183","71.00","E, 129, 183","69.00","E, 129, 183","68.00","E, 129, 183","66.00","E, 129, 183","63.00","E, 129, 183","61.00","E, 129, 183","58.00","E, 129, 183","56.00","E, 129, 183","54.00","E, 129, 183","53.00","E, 129, 183","51.00","E, 129, 183","48.00","E, 129, 183","51.00","E, 129, 183","48.00","E, 129, 183","50.00","E, 129, 183","48.00","E, 129, 183","48.00","E, 129, 183","46.00","E, 129, 183","","","",""
"030302","3","3.3","3.3.2","SH_TBS_MORT","+                                                                          Tuberculosis deaths per 100,000 population","01020310","Brazil","False","False","False","Annual","Per 100,000 population (Units)","Total","Total","Total","Not available","","","","","","","","","5.40","E, 129, 183","5.40","E, 129, 183","5.20","E, 129, 183","5.40","E, 129, 183","5.50","E, 129, 183","5.30","E, 129, 183","4.90","E, 129, 183","5.00","E, 129, 183","5.00","E, 129, 183","4.80","E, 129, 183","4.40","E, 129, 183","4.20","E, 129, 183","3.80","E, 129, 183","3.60","E, 129, 183","3.50","E, 129, 183","3.10","E, 129, 183","3.00","E, 129, 183","2.90","E, 129, 183","2.90","E, 129, 183","2.70","E, 129, 183","2.70","E, 129, 183","2.60","E, 129, 183","2.50","E, 129, 183","2.60","E, 129, 183","2.60","E, 129, 183","","","",""
